k_T,k_Y,ate,note
0.0,0.0,-0.02484650099189635,baseline (no U added)
0.0,0.5,-0.024085497974892688,
0.0,1.0,-0.02216284849367324,
0.0,1.5,-0.022532640767441613,
0.0,2.0,-0.023290542194080686,
0.5,0.0,-0.02565335142111132,
0.5,0.5,-0.03025373478107691,
0.5,1.0,-0.03335622397282427,
0.5,1.5,-0.037004063908103686,
0.5,2.0,-0.0384734444619627,
1.0,0.0,-0.025774819432298222,
1.0,0.5,-0.035531635808813314,
1.0,1.0,-0.04323397380722549,
1.0,1.5,-0.047815034186292855,
1.0,2.0,-0.051657384018831874,
1.5,0.0,-0.025724577293679905,
1.5,0.5,-0.03937385914335853,
1.5,1.0,-0.04879194630930052,
1.5,1.5,-0.056039351517705456,
1.5,2.0,-0.06112524679701163,
2.0,0.0,-0.024130316283455425,
2.0,0.5,-0.039522719984577015,
2.0,1.0,-0.05122108393553056,
2.0,1.5,-0.0617989329178399,
2.0,2.0,-0.06729156593719582,
